Gene	GeneID	Gene_type	DORGE-TSG_score	Drug_Name	Cell_Line	Time	Dose	p-value	q-value	Fold_Change	Specificity
ARHGEF10	9639	CGC-TSG	0.761525344877357	lanatosideC	MCF7	6h	4.0μM	1.27014E-4	5.47913E-4	0.499859	3.498950314905528E-4
ARHGEF10	9639	CGC-TSG	0.761525344877357	LY-294002	MCF7	6h	10.0μM	3.84815E-4	0.0012559	0.162764	3.629764065335753E-4
ARHGEF10	9639	CGC-TSG	0.761525344877357	helveticoside	MCF7	6h	7.4μM	8.90259E-4	0.00336955	0.417532	3.834355828220859E-4
ARHGEF10	9639	CGC-TSG	0.761525344877357	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	0.00200827	0.0096728	0.243815	5.040322580645161E-4
ARHGEF10	9639	CGC-TSG	0.761525344877357	alvespimycin	MCF7	6h	0.1μM	0.00266323	0.0128723	0.257414	5.770340450086555E-4
KAT8	84148	Novel DORGE-TSG	0.794833885937489	trichostatinA	MCF7	6h	0.1μM	0.0	0.0	1.00703	2.373605506764776E-4
KAT8	84148	Novel DORGE-TSG	0.794833885937489	trichostatinA	MCF7	6h	1.0μM	4.66918E-26	3.59686E-25	0.719088	2.809778027535825E-4
KAT8	84148	Novel DORGE-TSG	0.794833885937489	trichostatinA	PC3	6h	0.1μM	4.16015E-21	1.54681E-20	0.495434	2.787068004459309E-4
KAT8	84148	Novel DORGE-TSG	0.794833885937489	trichostatinA	PC3	6h	1.0μM	9.38297E-9	3.9611E-8	0.431738	2.996703626011388E-4
KAT8	84148	Novel DORGE-TSG	0.794833885937489	trichostatinA	HL60	6h	0.1μM	9.68806E-9	5.17292E-8	0.264614	4.476275738585497E-4
KAT8	84148	Novel DORGE-TSG	0.794833885937489	trichostatinA	HL60	6h	1.0μM	4.23833E-4	0.0014282	0.440742	4.340277777777778E-4
KAT8	84148	Novel DORGE-TSG	0.794833885937489	valproicacid	MCF7	6h	1000.0μM	5.4782E-4	0.0138833	0.257394	0.002267573696145125
KAT8	84148	Novel DORGE-TSG	0.794833885937489	estradiol	MCF7	6h	0.1μM	0.00100491	0.0731115	0.237604	0.0125
KAT8	84148	Novel DORGE-TSG	0.794833885937489	valproicacid	MCF7	6h	200.0μM	0.00350495	0.11326	0.242532	0.02127659574468085
KAT8	84148	Novel DORGE-TSG	0.794833885937489	valproicacid	HL60	6h	1000.0μM	0.00592763	0.0727275	0.309755	0.002985074626865672
KAT8	84148	Novel DORGE-TSG	0.794833885937489	famprofazone	MCF7	6h	10.6μM	0.00937517	0.331233	0.348023	0.5
MYOF	26509	Novel DORGE-TSG	0.882952190384072	trichostatinA	MCF7	6h	0.1μM	0.0	0.0	1.01356	2.373605506764776E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	trichostatinA	PC3	6h	0.1μM	0.0	0.0	0.986232	2.787068004459309E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	trichostatinA	MCF7	6h	1.0μM	1.76457E-26	1.40544E-25	0.718983	2.809778027535825E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	trichostatinA	PC3	6h	1.0μM	5.92544E-16	7.50696E-15	0.762628	2.996703626011388E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	fulvestrant	MCF7	6h	1.0μM	9.63795E-16	8.21273E-14	0.606192	6.825938566552901E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	fulvestrant	MCF7	6h	0.01μM	1.58321E-9	1.34909E-7	0.474869	0.001269035532994924
MYOF	26509	Novel DORGE-TSG	0.882952190384072	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	5.95259E-5	4.38462E-4	0.268899	5.040322580645161E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	troglitazone	PC3	6h	10.0μM	8.76548E-5	0.00539068	0.584201	0.003508771929824561
MYOF	26509	Novel DORGE-TSG	0.882952190384072	lanatosideC	MCF7	6h	4.0μM	1.38507E-4	5.91339E-4	0.541021	3.498950314905528E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	rosiglitazone	PC3	6h	10.0μM	5.15619E-4	0.0233451	0.594953	0.004739336492890996
MYOF	26509	Novel DORGE-TSG	0.882952190384072	valproicacid	MCF7	6h	500.0μM	5.9248E-4	0.0123056	0.263437	0.001785714285714286
MYOF	26509	Novel DORGE-TSG	0.882952190384072	valproicacid	MCF7	6h	200.0μM	0.00213687	0.0862491	0.236463	0.02127659574468085
MYOF	26509	Novel DORGE-TSG	0.882952190384072	15-deltaprostaglandinJ2	HL60	6h	10.0μM	0.00276463	0.0152962	0.605439	6.729475100942127E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	phenoxybenzamine	MCF7	6h	11.8μM	0.00277408	0.0119049	0.346577	5.060728744939271E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	geldanamycin	HL60	6h	1.0μM	0.00620926	0.0406576	0.533382	7.501875468867217E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	trichostatinA	HL60	6h	1.0μM	0.00665356	0.0176987	0.585571	4.340277777777778E-4
MYOF	26509	Novel DORGE-TSG	0.882952190384072	15-deltaprostaglandinJ2	PC3	6h	10.0μM	0.00896246	0.130259	0.455219	0.0045662100456621
ITPR1	3708	Novel DORGE-TSG	0.871048752371845	6-bromoindirubin-3'-oxime	PC3	6h	0.5μM	5.15294E-5	0.0221061	0.75219	0.01388888888888889
ITPR1	3708	Novel DORGE-TSG	0.871048752371845	troglitazone	PC3	6h	10.0μM	0.00111451	0.0327018	0.568802	0.003508771929824561
ITPR1	3708	Novel DORGE-TSG	0.871048752371845	thioridazine	PC3	6h	10.0μM	0.00123553	0.0182123	0.700594	0.001420454545454545
ITPR1	3708	Novel DORGE-TSG	0.871048752371845	sirolimus	HL60	6h	0.1μM	0.00480888	0.160307	0.607107	0.009615384615384616
ITPR1	3708	Novel DORGE-TSG	0.871048752371845	LY-294002	HL60	6h	10.0μM	0.00618966	0.0292463	0.488588	6.345177664974619E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	tanespimycin	MCF7	6h	1.0μM	3.71317E-12	2.70783E-11	0.421907	2.959455460195324E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	lanatosideC	MCF7	6h	4.0μM	4.67623E-11	1.01708E-9	1.66662	3.498950314905528E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	phenoxybenzamine	MCF7	6h	11.8μM	1.63434E-10	6.77762E-9	1.30768	5.060728744939271E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	helveticoside	MCF7	6h	7.4μM	1.0081E-9	1.69943E-8	1.46155	3.834355828220859E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	LY-294002	MCF7	6h	10.0μM	1.12739E-8	7.05527E-8	0.407652	3.629764065335753E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	cephaeline	MCF7	6h	6.0μM	2.60588E-8	1.60098E-7	0.992843	3.364737550471063E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	geldanamycin	MCF7	6h	1.0μM	1.95207E-7	1.79542E-6	0.550215	3.961965134706815E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	digoxigenin	MCF7	6h	10.2μM	3.66179E-7	4.11901E-6	1.15511	4.154549231408392E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	ionomycin	MCF7	6h	2.0μM	1.2887E-6	1.5874E-4	1.24483	4.340277777777778E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	monorden	MCF7	6h	0.1μM	9.61954E-5	0.00494532	0.617349	0.002645502645502645
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	gossypol	MCF7	6h	7.8μM	1.06062E-4	0.00221026	0.695944	8.620689655172414E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	sirolimus	PC3	6h	0.1μM	1.06693E-4	0.00246722	0.572223	6.915629322268327E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	methylbenzethoniumchloride	MCF7	6h	8.6μM	1.53351E-4	0.00658414	0.680574	0.001626016260162602
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	thioridazine	MCF7	6h	10.0μM	6.9516E-4	0.0041105	0.336548	4.428697962798937E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	celecoxib	MCF7	6h	10.0μM	0.00145305	0.446675	0.505839	0.0
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	alvespimycin	MCF7	6h	0.1μM	0.00205239	0.0103125	0.357767	5.770340450086555E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	0.00403508	0.0177261	0.265794	5.040322580645161E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	cobaltchloride	MCF7	6h	100.0μM	0.00474869	0.304435	0.743345	0.0
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	tanespimycin	PC3	6h	1.0μM	0.00568581	0.035222	0.25521	8.123476848090983E-4
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	acacetin	MCF7	6h	14.0μM	0.0089967	0.142402	0.436142	0.00425531914893617
FAM69A	388650	Novel DORGE-TSG	0.924797688343493	sirolimus	MCF7	6h	0.1μM	0.00914858	0.0315284	0.174737	4.199916001679967E-4
GLG1	2734	Novel DORGE-TSG	0.696251522102615	cephaeline	MCF7	6h	6.0μM	6.95632E-4	0.00188138	0.585449	3.364737550471063E-4
GLG1	2734	Novel DORGE-TSG	0.696251522102615	lycorine	MCF7	6h	12.4μM	7.83513E-4	0.0071817	0.470514	6.381620931716656E-4
GLG1	2734	Novel DORGE-TSG	0.696251522102615	phenoxybenzamine	MCF7	6h	11.8μM	0.00209788	0.00939176	0.515031	5.060728744939271E-4
GLG1	2734	Novel DORGE-TSG	0.696251522102615	pioglitazone	PC3	6h	10.0μM	0.00305322	0.041489	0.41125	0.001930501930501931
UBC	7316	Novel DORGE-TSG	0.903429605804164	famprofazone	MCF7	6h	10.6μM	0.00494412	0.285599	0.330692	0.5
UBC	7316	Novel DORGE-TSG	0.903429605804164	acacetin	MCF7	6h	14.0μM	0.00613917	0.116652	0.317469	0.00425531914893617
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	trichostatinA	PC3	6h	0.1μM	0.0	0.0	1.21682	2.787068004459309E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	trichostatinA	MCF7	6h	0.1μM	0.0	0.0	1.22099	2.373605506764776E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	trichostatinA	HL60	6h	0.1μM	1.17619E-33	7.35327E-32	0.761006	4.476275738585497E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	trichostatinA	MCF7	6h	1.0μM	2.1758E-32	3.50636E-31	0.870734	2.809778027535825E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	trichostatinA	PC3	6h	1.0μM	2.57844E-21	2.15291E-19	0.917916	2.996703626011388E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	trichostatinA	HL60	6h	1.0μM	1.35717E-14	2.01007E-12	1.49435	4.340277777777778E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	helveticoside	MCF7	6h	7.4μM	3.7604E-7	3.14403E-6	0.647307	3.834355828220859E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	cephaeline	MCF7	6h	6.0μM	1.21397E-6	5.29003E-6	0.575689	3.364737550471063E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	lanatosideC	MCF7	6h	4.0μM	2.10156E-6	1.33463E-5	0.600108	3.498950314905528E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	valproicacid	HL60	6h	500.0μM	4.12331E-6	2.87135E-4	0.554171	6.596306068601583E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	monastrol	MCF7	6h	100.0μM	1.19782E-5	0.00250659	0.545321	0.005714285714285714
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	phenoxybenzamine	MCF7	6h	11.8μM	1.21701E-5	1.0588E-4	0.545103	5.060728744939271E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	digoxigenin	MCF7	6h	10.2μM	2.84335E-5	1.90593E-4	0.510806	4.154549231408392E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	valproicacid	MCF7	6h	1000.0μM	6.24602E-5	0.00330667	0.258727	0.002267573696145125
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	LY-294002	HL60	6h	10.0μM	1.455E-4	0.001331	0.240509	6.345177664974619E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	haloperidol	MCF7	6h	10.0μM	8.84171E-4	0.109208	0.139813	0.04
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	valproicacid	HL60	6h	1000.0μM	0.00101357	0.0283176	0.404078	0.002985074626865672
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	valproicacid	HL60	6h	200.0μM	0.0013736	0.0312984	0.320482	0.002352941176470588
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	15-deltaprostaglandinJ2	HL60	6h	10.0μM	0.00143547	0.00896517	0.326929	6.729475100942127E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	phthalylsulfathiazole	MCF7	6h	10.0μM	0.00298021	0.166264	0.329759	0.0
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	valproicacid	PC3	6h	1000.0μM	0.00547261	0.141843	0.382559	0.01818181818181818
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	0.00686144	0.0277514	0.146947	5.040322580645161E-4
ANP32B	10541	Novel DORGE-TSG	0.711681748845238	thioridazine	HL60	6h	10.0μM	0.00951987	0.0598065	0.25443	7.993605115907274E-4
MYO1C	4641	Novel DORGE-TSG	0.917609001763906	trichostatinA	MCF7	6h	0.1μM	8.29486E-34	2.5287E-33	0.538857	2.373605506764776E-4
MYO1C	4641	Novel DORGE-TSG	0.917609001763906	trichostatinA	MCF7	6h	1.0μM	4.43433E-13	1.50484E-12	0.490955	2.809778027535825E-4
MYO1C	4641	Novel DORGE-TSG	0.917609001763906	trichostatinA	PC3	6h	0.1μM	3.62993E-8	8.59535E-8	0.318951	2.787068004459309E-4
MYO1C	4641	Novel DORGE-TSG	0.917609001763906	15-deltaprostaglandinJ2	MCF7	6h	10.0μM	1.81812E-5	1.53143E-4	0.435721	5.040322580645161E-4
MYO1C	4641	Novel DORGE-TSG	0.917609001763906	geldanamycin	MCF7	6h	1.0μM	2.87221E-4	0.00137066	0.303889	3.961965134706815E-4
MYO1C	4641	Novel DORGE-TSG	0.917609001763906	tanespimycin	MCF7	6h	1.0μM	0.00164133	0.00448196	0.17402	2.959455460195324E-4
MYO1C	4641	Novel DORGE-TSG	0.917609001763906	tretinoin	MCF7	6h	1.0μM	0.00315839	0.0222248	0.238677	7.462686567164179E-4
MYO1C	4641	Novel DORGE-TSG	0.917609001763906	alpha-estradiol	MCF7	6h	0.01μM	0.00751009	0.349177	0.240071	0.04166666666666666
ILK	3611	Novel DORGE-TSG	0.667663129249352	tanespimycin	MCF7	6h	1.0μM	9.69161E-9	4.99269E-8	0.224659	2.959455460195324E-4
ILK	3611	Novel DORGE-TSG	0.667663129249352	pioglitazone	PC3	6h	10.0μM	5.02901E-4	0.0132071	0.432779	0.001930501930501931
ILK	3611	Novel DORGE-TSG	0.667663129249352	phenelzine	MCF7	6h	17.0μM	0.00217502	0.310382	0.43204	0.0
DDX42	11325	Novel DORGE-TSG	0.796593363035237	trichostatinA	MCF7	6h	0.1μM	2.30274E-40	7.8061E-40	0.448313	2.373605506764776E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	trichostatinA	MCF7	6h	1.0μM	2.23565E-15	8.53445E-15	0.514789	2.809778027535825E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	thioridazine	MCF7	6h	10.0μM	1.06083E-9	3.38295E-8	0.574203	4.428697962798937E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	15-deltaprostaglandinJ2	HL60	6h	10.0μM	1.13894E-7	4.5856E-6	0.976271	6.729475100942127E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	fluphenazine	MCF7	6h	10.0μM	4.35384E-7	2.53113E-5	0.465755	7.541478129713424E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	fulvestrant	MCF7	6h	1.0μM	6.08064E-7	9.79912E-6	0.352951	6.825938566552901E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	helveticoside	MCF7	6h	7.4μM	7.8556E-7	6.08919E-6	0.820726	3.834355828220859E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	trifluoperazine	MCF7	6h	10.0μM	2.50201E-6	6.94811E-5	0.488557	5.824111822947001E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	trichostatinA	HL60	6h	0.1μM	2.98428E-6	1.21292E-5	0.276597	4.476275738585497E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	tanespimycin	MCF7	6h	1.0μM	3.52166E-6	1.34643E-5	0.232848	2.959455460195324E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	prochlorperazine	MCF7	6h	10.0μM	6.34173E-6	1.8391E-4	0.42619	8.103727714748784E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	digoxigenin	MCF7	6h	10.2μM	4.51358E-5	2.83603E-4	0.578256	4.154549231408392E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	fulvestrant	MCF7	6h	0.01μM	3.2286E-4	0.00557101	0.327532	0.001269035532994924
DDX42	11325	Novel DORGE-TSG	0.796593363035237	chlorcyclizine	MCF7	6h	11.8μM	3.48202E-4	0.0543142	0.458043	0.07142857142857142
DDX42	11325	Novel DORGE-TSG	0.796593363035237	lanatosideC	MCF7	6h	4.0μM	3.50606E-4	0.00138341	0.584295	3.498950314905528E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	thioridazine	PC3	6h	10.0μM	5.46497E-4	0.00994001	0.483165	0.001420454545454545
DDX42	11325	Novel DORGE-TSG	0.796593363035237	15-deltaprostaglandinJ2	PC3	6h	10.0μM	9.21317E-4	0.0341765	0.533311	0.0045662100456621
DDX42	11325	Novel DORGE-TSG	0.796593363035237	promazine	MCF7	6h	12.4μM	0.00108369	0.208165	0.492365	1.0
DDX42	11325	Novel DORGE-TSG	0.796593363035237	valproicacid	HL60	6h	500.0μM	0.00130059	0.0123828	0.440533	6.596306068601583E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	thioridazine	HL60	6h	10.0μM	0.00132058	0.0134496	0.480108	7.993605115907274E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	orphenadrine	MCF7	6h	13.0μM	0.00158991	0.782004	0.422923	0.0
DDX42	11325	Novel DORGE-TSG	0.796593363035237	alvespimycin	MCF7	6h	0.1μM	0.00160719	0.00836265	0.281414	5.770340450086555E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	geldanamycin	MCF7	6h	1.0μM	0.00189319	0.00743002	0.248808	3.961965134706815E-4
DDX42	11325	Novel DORGE-TSG	0.796593363035237	clofazimine	MCF7	6h	8.4μM	0.0026896	0.0771189	0.346571	0.006535947712418301
DDX42	11325	Novel DORGE-TSG	0.796593363035237	loperamide	MCF7	6h	7.8μM	0.00409224	0.0630874	0.323414	0.003378378378378379
DDX42	11325	Novel DORGE-TSG	0.796593363035237	vincamine	MCF7	6h	11.2μM	0.00419807	0.745295	0.412842	0.0
DDX42	11325	Novel DORGE-TSG	0.796593363035237	bepheniumhydroxynaphthoate	MCF7	6h	9.0μM	0.00522368	0.333434	0.31184	0.0
DDX42	11325	Novel DORGE-TSG	0.796593363035237	benzamil	MCF7	6h	11.2μM	0.00582966	0.175185	0.401344	0.015625
DDX42	11325	Novel DORGE-TSG	0.796593363035237	haloperidol	PC3	6h	10.0μM	0.00619201	0.696865	0.370745	0.0
DDX42	11325	Novel DORGE-TSG	0.796593363035237	estradiol	PC3	6h	0.01μM	0.00686956	0.34122	0.31321	0.0
DDX42	11325	Novel DORGE-TSG	0.796593363035237	trifluoperazine	HL60	6h	10.0μM	0.00714204	0.149032	0.355373	0.007407407407407408
DDX42	11325	Novel DORGE-TSG	0.796593363035237	valproicacid	MCF7	6h	500.0μM	0.00794645	0.078524	0.251027	0.001785714285714286
LRIG1	26018	Novel DORGE-TSG	0.74945510560624	lanatosideC	MCF7	6h	4.0μM	1.2091E-6	8.06994E-6	1.1496	3.498950314905528E-4
LRIG1	26018	Novel DORGE-TSG	0.74945510560624	fulvestrant	MCF7	6h	1.0μM	2.50468E-6	3.45462E-5	0.473596	6.825938566552901E-4
LRIG1	26018	Novel DORGE-TSG	0.74945510560624	phenoxybenzamine	MCF7	6h	11.8μM	1.53329E-5	1.2959E-4	0.935212	5.060728744939271E-4
LRIG1	26018	Novel DORGE-TSG	0.74945510560624	helveticoside	MCF7	6h	7.4μM	6.96443E-5	3.43282E-4	0.875861	3.834355828220859E-4
LRIG1	26018	Novel DORGE-TSG	0.74945510560624	fulvestrant	MCF7	6h	0.01μM	4.69232E-4	0.00755203	0.387566	0.001269035532994924
LRIG1	26018	Novel DORGE-TSG	0.74945510560624	tretinoin	MCF7	6h	1.0μM	5.97258E-4	0.00538831	0.389181	7.462686567164179E-4
LRIG1	26018	Novel DORGE-TSG	0.74945510560624	digoxigenin	MCF7	6h	10.2μM	9.15393E-4	0.0039311	0.621673	4.154549231408392E-4
LRIG1	26018	Novel DORGE-TSG	0.74945510560624	lycorine	MCF7	6h	12.4μM	0.00328528	0.0200999	0.446514	6.381620931716656E-4
RRBP1	6238	Novel DORGE-TSG	0.688320250921097	LY-294002	MCF7	6h	10.0μM	4.82516E-7	2.42741E-6	0.201734	3.629764065335753E-4
RRBP1	6238	Novel DORGE-TSG	0.688320250921097	sirolimus	MCF7	6h	0.1μM	3.46677E-6	3.05454E-5	0.217306	4.199916001679967E-4
RRBP1	6238	Novel DORGE-TSG	0.688320250921097	trichostatinA	PC3	6h	0.1μM	3.25184E-4	6.32424E-4	0.133549	2.787068004459309E-4
RRBP1	6238	Novel DORGE-TSG	0.688320250921097	LY-294002	PC3	6h	10.0μM	0.00284297	0.015338	0.282267	4.699248120300752E-4
RRBP1	6238	Novel DORGE-TSG	0.688320250921097	wortmannin	MCF7	6h	0.01μM	0.00320581	0.0214862	0.173197	7.390983000739098E-4
PSMA2	5683	Novel DORGE-TSG	0.781692694258745	cephaeline	MCF7	6h	6.0μM	1.91125E-11	2.77131E-10	1.23295	3.364737550471063E-4
PSMA2	5683	Novel DORGE-TSG	0.781692694258745	LY-294002	MCF7	6h	10.0μM	1.55796E-8	9.52463E-8	0.253184	3.629764065335753E-4
PSMA2	5683	Novel DORGE-TSG	0.781692694258745	gossypol	MCF7	6h	7.8μM	1.44148E-7	1.3243E-5	0.72378	8.620689655172414E-4
PSMA2	5683	Novel DORGE-TSG	0.781692694258745	rottlerin	MCF7	6h	10.0μM	8.32118E-7	2.20263E-4	0.689336	0.001055966209081309
PSMA2	5683	Novel DORGE-TSG	0.781692694258745	LY-294002	HL60	6h	10.0μM	1.69193E-6	3.52585E-5	0.374582	6.345177664974619E-4
